contrast,lang,layer,auroc,n_pos,n_neg
awareness,bn,13,0.7585185185185186,75,139
awareness,bn,14,0.7574250440917109,75,139
awareness,bn,15,0.7608289241622576,75,139
awareness,bn,16,0.7799647266313933,75,139
awareness,bn,17,0.779400352733686,75,139
awareness,bn,18,0.7613227513227513,75,139
awareness,bn,19,0.7788183421516754,75,139
awareness,bn,20,0.7759435626102293,75,139
awareness,bn,21,0.7870017636684304,75,139
awareness,bn,22,0.7844620811287479,75,139
awareness,bn,23,0.7751851851851852,75,139
awareness,bn,24,0.7836155202821868,75,139
awareness,bn,25,0.7735978835978836,75,139
awareness,bn,26,0.7852028218694884,75,139
awareness,bn,27,0.7776014109347442,75,139
awareness,bn,28,0.7685008818342152,75,139
awareness,bn,29,0.768994708994709,75,139
awareness,bn,30,0.7752028218694884,75,139
awareness,bn,31,0.7839858906525572,75,139
awareness,bn,32,0.7734038800705467,75,139
awareness,bn,33,0.7613403880070546,75,139
awareness,bn,34,0.767089947089947,75,139
awareness,bn,35,0.7853086419753086,75,139
awareness,bn,36,0.7835097001763668,75,139
awareness,bn,37,0.779753086419753,75,139
awareness,bn,38,0.7881305114638447,75,139
awareness,bn,39,0.7801410934744267,75,139
awareness,ta,0,0.6181818181818182,15,59
awareness,ta,1,0.5555555555555556,15,59
awareness,ta,2,0.5444444444444445,15,59
awareness,ta,3,0.5803030303030303,15,59
awareness,ta,4,0.5454545454545455,15,59
awareness,ta,5,0.5696969696969697,15,59
awareness,ta,6,0.5414141414141415,15,59
awareness,ta,7,0.5878787878787878,15,59
awareness,ta,8,0.5535353535353535,15,59
awareness,ta,9,0.5767676767676767,15,59
awareness,ta,10,0.6272727272727272,15,59
awareness,ta,11,0.6035353535353535,15,59
awareness,ta,12,0.6272727272727272,15,59
awareness,ta,13,0.5595959595959596,15,59
awareness,ta,14,0.49393939393939384,15,59
awareness,ta,15,0.4878787878787879,15,59
awareness,ta,16,0.4878787878787878,15,59
awareness,ta,17,0.516161616161616,15,59
awareness,ta,18,0.51010101010101,15,59
awareness,ta,19,0.5328282828282828,15,59
awareness,ta,20,0.5323232323232323,15,59
awareness,ta,21,0.5383838383838383,15,59
awareness,ta,22,0.4878787878787879,15,59
awareness,ta,23,0.4818181818181818,15,59
awareness,ta,24,0.5262626262626262,15,59
awareness,ta,25,0.48737373737373735,15,59
awareness,ta,26,0.51010101010101,15,59
awareness,ta,27,0.5328282828282828,15,59
awareness,ta,28,0.5439393939393938,15,59
awareness,ta,29,0.5439393939393938,15,59
awareness,ta,30,0.56010101010101,15,59
awareness,ta,31,0.5434343434343434,15,59
awareness,ta,32,0.5383838383838383,15,59
awareness,ta,33,0.5484848484848485,15,59
awareness,ta,34,0.5707070707070707,15,59
awareness,ta,35,0.56010101010101,15,59
awareness,ta,36,0.5429292929292929,15,59
awareness,ta,37,0.598989898989899,15,59
awareness,ta,38,0.6277777777777779,15,59
awareness,ta,39,0.6449494949494949,15,59
awareness,te,0,0.5242424242424242,15,56
awareness,te,1,0.501010101010101,15,56
awareness,te,2,0.5015151515151515,15,56
awareness,te,3,0.501010101010101,15,56
awareness,te,4,0.5191919191919192,15,56
awareness,te,5,0.48434343434343435,15,56
awareness,te,6,0.6878787878787879,15,56
awareness,te,7,0.6868686868686869,15,56
awareness,te,8,0.7146464646464648,15,56
awareness,te,9,0.6868686868686869,15,56
awareness,te,10,0.6681818181818182,15,56
awareness,te,11,0.6691919191919192,15,56
awareness,te,12,0.6383838383838384,15,56
awareness,te,13,0.6499999999999999,15,56
awareness,te,14,0.5772727272727273,15,56
awareness,te,15,0.5898989898989899,15,56
awareness,te,16,0.6191919191919193,15,56
awareness,te,17,0.655050505050505,15,56
awareness,te,18,0.6722222222222222,15,56
awareness,te,19,0.6368686868686868,15,56
awareness,te,20,0.6378787878787878,15,56
